region,site,plot,long,lat,HAND,HAND_floo,dsl,prec,storm,logSB,logCa,logMg,logK,logAl,pH,logHAND,lma.cwM,lma.cwSD,alt.cwM,alt.cwSD,ses.cwM,ses.cwSD,pc1.cwM,pc1.cwSD,pc2.cwM,pc2.cwSD,riq,Al2,site2
BR319,BR319_M01,M01_TN_1500,-59.84685821,-3.350999896,-0.7458526886726967,-1.1038632024997361,-0.2907927589502741,0.2537957974059979,0.13033898035603972,-0.15019344881999563,0.2247674316488797,-0.07719021884947905,-1.0915803915569517,0.25725635443362993,0.06059867959101004,-0.7542745964308907,59.04195275795455,8.486958622717882,1.9227272727272728,2.7866234532620786,0.3348796065993483,0.2440212805047839,-1.2216827040683054,1.5324222361150874,0.2693610600302827,0.7181448789154342,3,0.04736690998451109,BR319_M01
BR319,BR319_M01,M01_TN_2500,-59.83823148,-3.348887237,-0.9001255124607376,-1.2849093421870312,-0.2907927589502741,0.2537957974059979,0.08212336633135339,-0.5287143243600247,-0.3915601223077018,-0.6491439107729605,0.162221988602563,1.199091177237285,-3.505009124130378,-1.424068328966718,36.559200000000004,0,0.2,0,0.1443169125,0,1.5172837859353812,0,-0.33710975843635194,0,1,1.7895136713740505,BR319_M01
BR319,BR319_M01,M01_TN_3500,-59.8295038,-3.3464562,-0.49124179209022945,-1.0435144892706378,-0.2907927589502741,0.2537957974059979,0.08367978915499631,0.24289676262122928,0.72932815502626,-0.15293205671052057,-0.7617872274586978,0.24337586282816887,0.6295786482699545,-0.16862439181095235,28.237422362179274,7.3842156339786245,1.8055003819709703,1.3603719352458774,0.4662679096409015,0.2761644445067804,0.03583487061080638,1.3599961080792236,1.0840125885988603,0.9482025885320139,9,0.028141055396372575,BR319_M01
BR319,BR319_M01,M01_TS_0500,-59.85303702,-3.362924997,-0.5123783836958351,-0.5017037418997929,-0.2907927589502741,0.2537957974059979,0.1720753093805869,-0.4930172597638428,-0.3915601223077018,-0.42108069176705387,-0.028359851750450665,1.0293527583483606,-0.015265316232849331,-0.2059353949234675,53.15349612986111,19.01325374428752,1.75,1.8811263550427342,0.41462478043333334,0.15475363068624154,-1.0946632627490913,1.451916248720029,0.7094856474160841,0.28453128762249197,3,1.4015072657290535,BR319_M01
BR319,BR319_M01,M01_TS_1500,-59.84451103,-3.36066599,-0.5245258501358384,-1.073688845885187,-0.2907927589502741,0.2537957974059979,0.174335095878156,-0.5659308622325807,-0.6111318959296795,-0.15293205671052057,-1.0915803915569517,0.9258416302167808,-0.07216331310074428,-0.22803856573490736,54.42947709493181,11.442751588627216,1.7409090909090912,1.0288286407818474,0.40394455543636365,0.09114183917948691,-1.367183042860355,0.49066865614414723,0.6724608633147526,0.18872445737796847,4,1.1829557217209352,BR319_M01
BR319,BR319_M01,M01_TS_2500,-59.83487251,-3.358089477,-0.887249198034334,-0.8741759999497878,-0.2907927589502741,0.2537957974059979,0.13203826324562387,-1.2109291634780124,-1.2090759734895817,-2.0660020392050376,-0.24141222300743073,0.3649877576931658,1.0657966242571446,-1.346992762089571,46.66077569286034,13.039806594722378,1.480680856521667,1.690234692580957,0.30041683148098103,0.21493789457657372,-0.6120890933835695,1.0655368586349754,0.17454665819141624,1.065467895821937,8,0.20196155086378548,BR319_M01
BR319,BR319_M01,M01_TS_3500,-59.82702739,-3.356154431,-0.5394672338570422,-1.0435144892706378,-0.2907927589502741,0.2537957974059979,0.13264934888652669,0.5241077014413873,0.9769717946489945,0.12124637222373225,-0.7617872274586978,-0.04138206080710843,0.6106126493139901,-0.25592664678960153,43.13765373991721,12.964880622717745,1.5607714382249014,0.6706029909146344,0.25556838475336424,0.21078229621408567,-0.5501942356360674,0.5976678621359419,-0.288539983235784,1.5026841552836072,11,-0.3339947454188895,BR319_M01
BR319,BR319_M02,M02_TN_2500,-60.3158259,-3.6779217,-0.8381126962845211,-0.8253538909474473,-1.001834424769664,0.2670387996714357,0.4658243136712309,-1.2942737840712206,-1.2090759734895817,-1.651597602217675,-1.0915803915569517,0.4312462538743548,0.5537146524460951,-1.0984442355875546,47.47793579703765,12.484960371623082,1.698671096345515,1.1966150141587921,0.48488103059057064,0.2111649351374431,-0.969757678904,0.7377887311477895,0.9354422022599207,0.5951586064447378,11,0.3019482770860896,BR319_M02
BR319,BR319_M02,M02_TN_3500,-60.3081604,-3.6731894,-0.6830502871778802,-0.6712836260735593,-1.001834424769664,0.26959246381352947,0.47191739801464994,-0.7802798258540586,-0.4921542709203511,-0.6491439107729605,-1.0915803915569517,0.5202824132678311,0.2312926701946932,-0.5742496452831168,54.4435361642316,10.814887262531443,2.180952380952381,1.506500330524284,0.6082330777385282,0.2771784381439474,-1.5333581263005238,0.802108575095566,1.132839512960416,0.5981767375646129,8,0.4424976226217415,BR319_M02
BR319,BR319_M02,M02_TN_4500,-60.3009325,-3.6686552,-0.5559877882154466,-0.5450341179982855,-1.001834424769664,0.26959246381352947,0.4395312261287205,-0.8302623809702114,-0.6111318959296795,-0.6491439107729605,-1.0915803915569517,0.4461239549839938,0.6106126493139901,-0.2877141062394505,51.765238243323616,12.919883997275114,1.2845959717398618,0.8448452895160802,0.4158637541907201,0.22792159921917762,-0.9139961320577734,0.8662341889201739,0.6657145663759036,0.5787485646179625,12,0.3249319979329517,BR319_M02
BR319,BR319_M02,M02_TS_1500,-60.3189989,-3.690508,-0.924359708008544,-0.911049063732767,-1.001834424769664,0.33240722534447326,0.5320020177089727,-0.6048020016404765,-0.30442150722551303,-0.5287641010142742,-0.7617872274586978,0.6371949627855186,0.21232667123872878,-1.5879337576962853,49.816415199031006,11.114041451226026,2.286046511627907,1.5591642965292107,0.7232055879744186,0.44700923611318477,-1.3783111566901236,0.9210145568724196,1.288076078555006,0.9053073974283351,10,0.6384146463227564,BR319_M02
BR319,BR319_M02,M02_TS_2500,-60.3113017,-3.6858035,-0.920836942740943,-0.9075488383654793,-1.001834424769664,0.32123126328111684,0.4984647628037125,-0.2771488228659907,-0.30442150722551303,-0.006676254779691658,-0.028359851750450665,0.7026179213986808,0.07956467854697447,-1.562345590250957,48.03483241116947,11.795669432001809,1.4759103641456583,1.2123187695157789,0.4541218353367371,0.31204254776013585,-0.8854696261880188,0.7757533449579823,0.7939173949022833,0.6901693536387951,9,0.7539797670492888,BR319_M02
BR319,BR319_M02,M02_TS_3500,-60.3036022,-3.6811989,-0.9000647751285374,-0.8869095784411276,-1.001834424769664,0.32123126328111684,0.5023828197317428,-0.3335849618901829,-0.09660807435393211,-0.15293205671052057,-0.48295108025762135,0.4461239549839938,0.4209526597543408,-1.4236901758471243,44.69474726301736,8.607558332309736,1.0283044058744994,0.725591125113038,0.33500363002386857,0.24618268520995984,-0.4108681598069041,0.7457072908619419,0.4318133389536475,0.6619660969572289,9,0.3249319979329517,BR319_M02
BR319,BR319_M02,M02_TS_4500,-60.296184,-3.6761514,-0.9779300350089581,-0.9642766288008316,-1.001834424769664,0.26959246381352947,0.47794349534150454,-1.2109291634780124,-1.2090759734895817,-1.651597602217675,-0.48295108025762135,0.8057716731375244,0.15542867437083382,-2.0920984955680644,45.49152628411045,8.515971697537763,1.1408730158730158,0.8532669458192105,0.36994279803343827,0.27956341757029274,-0.5468416637022102,0.8210071009288813,0.5218065176959674,0.7118104158509486,8,0.945331167261424,BR319_M02
